__Smoker69,[-148;-196],447260,CB5
Twitch_Laaassse,[-193;-173],23575,CB3
Lux_GamerPro,[-139;-146],20050,CB4
Elotex_TV,[-147;194],12740,CB5
CH008,[-138;-71],11175,CB4
KartofelSchaeler,[-198;84],10496,CB3
ErrorWolfsBoy,[-197;10],10016,CB3
SirMusex,[-197;87],10000,CB3
NixxiPlays,[-197;-144],10000,CB3
gamer00777,[-197;-89],9150,CB3
KingZapto,[-198;165],7647,CB3
space_apricot,[-198;104],7108,CB3
MrBeanDerEchte,[-147;-109],6548,CB5
xxlikeyou,[-148;-128],4784,CB5
RiceGumVEVO,[-196;-168],4648,CB3
Crushr,[-140;112],4595,CB4
CookieWarrior_,[-146;41],4114,CB5
Louis_HD_04,[-196;-69],4004,CB3
SleoJ3,[-146;165],3150,CB5
Wolfsburg_20,[-147;112],2590,CB5
CriticalTumor,[-137;66],2288,CB4
CandyGirl_,[-139;195],2000,CB4
Milchschnitte_04,[-196;118],2000,CB3
CW_error,[-140;-131],1380,CB4
IBims1WildesJoas,[-137;-16],1150,CB4
400EuroKostetDas,[-195;51],1150,CB3
TomysTopic,[-147;17],1150,CB5
Emy_Unicornn1253,[-147;12],1150,CB5
kakuzly,[-147;-188],1150,CB5
DerWolkige,[-197;11],1150,CB3
clean_Yellow,[-197;-46],732,CB3
zJqel_,[-195;93],656,CB3
zFlaqe,[-146;-49],444,CB5
JamirousedVape,[-193;-43],352,CB3
CallMeCyrex_,[-145;134],336,CB5
XFRSHBlog,[-140;59],256,CB4
Itakuy,[-147;-93],244,CB5
Clarissalucy,[-195;114],232,CB3
HeisserKotBurger,[-147;-106],228,CB5
LX53,[-145;87],168,CB5
DasterBlaster,[-147;63],168,CB5
xHendrik1x,[-198;77],164,CB3
___voron____,[-140;-39],126,CB4
Perinus,[-148;-124],112,CB5
yMula,[-198;181],96,CB3
SliederHD,[-149;190],88,CB4
Pynox_HD,[-195;-152],80,CB3
KompetenzEVLTN,[-147;-85],78,CB5
LegendChamp_,[-196;-68],75,CB3
JoelGamer7,[-140;-143],74,CB4
lilskiees,[-139;114],60,CB4
ckd2755,[-194;154],50,CB3
Catchie2,[-139;62],48,CB4
UmuTPi,[-197;92],40,CB3
sup_luis,[-147;113],25,CB5
tomtom111,[-148;151],25,CB5
verloqenee,[-148;128],25,CB5
Crxps,[-148;51],24,CB5
Originalpackung,[-198;48],20,CB3
zNastX,[-148;-72],16,CB5
Mara_play,[-137;28],10,CB4
LeaMc_HD,[-144;-181],8,CB5
KryptonDB,[-196;51],8,CB3
WDS_Nize11,[-196;-191],4,CB3
zMaaze,[-193;68],0,CB3
